ID,First_Name,Last_Name,Full_Name,Gender,donor_type,Constituent_Type_2,Class_Year,Parent_Year,Primary_Manager,Rating,Prospect_Stage,region,Professional_Background,Interest_Keywords,Lifetime_Giving,Last_Gift,Last_Gift_Date,largest_gift,gift_count,giving_years,avg_gift_amount,Engagement_Score,event_count,contact_count,gave_in_12mo_flag,gave_in_24mo_flag,recently_engaged_flag,days_since_last_gift,years_inactive,giving_momentum,giving_momentum_pct,capacity_score,affinity_score,timing_score,prospect_intelligence_score,Will_Give_Again_Probability,why_surfaced
394121,Lisa,Anderson,Lisa Anderson,F,Alum,,2008.0,,,M,Qualification,Midwest,Manufacturing,"Arts, Education",100000000.0,36538504.72,2025-08-01,19688982.19,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,82.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70928,70.57347,37.83789,64.443899,0.7055268,"Surfaced due to strong engagement/affinity, historically high-value donor without recent giving, 1 contact report(s)."
161298,Scott,Martin,Scott Martin,M,Alum,Parent,2011.0,2025.0,,L,Cultivation,Southwest,Government,Education,100000000.0,41316603.27,2024-09-01,43417556.26,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,79.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.71013,70.48212000000001,37.83789,64.4122665,0.62913173,"Surfaced due to strong engagement/affinity, historically high-value donor without recent giving, 1 contact report(s)."
299330,Andrew,Johnson,Andrew Johnson,M,Alum,Alum,1994.0,2017.0,,O,Identification,Northeast,Government,Athletics,100000000.0,24056808.03,2021-12-06,22911490.04,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,71.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70963,70.06992,37.83789,64.2677965,0.7954961,"Surfaced due to strong engagement/affinity, historically high-value donor without recent giving, 1 contact report(s)."
307954,Larry,Smith,Larry Smith,M,Alum,,1994.0,,,M,Qualification,Northeast,Technology,Education,100000000.0,26912226.71,2021-05-04,23257014.26,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,61.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70968,68.61497,37.83789,63.758584,0.69526595,"Surfaced due to historically high-value donor without recent giving, 1 contact report(s)."
996437,Christopher,Garcia,Christopher Garcia,M,Friend,,,,,H,Identification,Southwest,Government,Faculty Development,100000000.0,41021772.83,2019-11-24,20204698.54,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,51.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70933000000001,64.66641999999999,37.83789,62.3764515,0.79224384,"Surfaced due to historically high-value donor without recent giving, 1 contact report(s)."
274298,Marie,Mitchell,Marie Mitchell,F,Alum,Parent,2001.0,,,I,Stewardship,Midwest,Finance,Athletics,93720501.91,15141646.28,2022-02-20,14856674.81,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,62.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70807000000002,68.82262,37.83789,63.8306175,0.79626507,"Surfaced due to historically high-value donor without recent giving, 1 contact report(s)."
963684,Frank,Carter,Frank Carter,M,Friend,,,,,O,Identification,Mountain West,Retired,Faculty Development,90024666.78,28371393.2,2020-12-22,17644874.64,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,66.0,1.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70880000000001,79.05802,37.83789,67.41329950000001,0.79224384,"Surfaced due to strong engagement/affinity, historically high-value donor without recent giving, attended 1 event(s), 1 contact report(s)."
704414,Jacob,Smith,Jacob Smith,M,Parent,,,2022.0,,O,Identification,West Coast,Government,Global Programs,79840559.25,10772756.57,2022-11-05,21394126.59,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,75.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70913000000002,70.31592,37.83789,64.35369650000001,0.7973329,"Surfaced due to strong engagement/affinity, historically high-value donor without recent giving, 1 contact report(s)."
393481,Christopher,Flores,Christopher Flores,M,Foundation,,,,,J,Identification,Mountain West,Manufacturing,Research,77034579.84,12277965.17,2017-08-08,18931916.2,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,59.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70881000000001,67.98137,37.83789,63.53647600000001,0.78842944,"Surfaced due to historically high-value donor without recent giving, 1 contact report(s)."
947272,Janet,Young,Janet Young,F,Friend,Parent,,,,K,Qualification,Southeast,Education,"Student Support, Arts",74912305.44,7358599.68,2012-01-17,65080456.96,-0.4002706498418611,-0.4002706498418611,-0.0309130342696823,50.0,0.0,1.0,0,0,0,-0.2346840923538785,-0.3461139456489224,-0.0317838595819474,50.132299999999994,75.70969000000001,64.18887000000001,37.83789,62.20945300000001,0.5885805,"Surfaced due to historically high-value donor without recent giving, 1 contact report(s)."
